"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atmel-microcontroller.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atmosphere-0.4.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\attribution.yml", "YAML", 0, 0, 0, 17, 0, 0, 1, 18
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoconf-exception-2.0.yml", "YAML", 0, 0, 0, 28, 0, 0, 1, 29
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoconf-exception-3.0.yml", "YAML", 0, 0, 0, 61, 0, 0, 1, 62
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoconf-macro-exception.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoconf-simple-exception-2.0.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoconf-simple-exception.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoit-eula.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\autoopts-exception-2.0.yml", "YAML", 0, 0, 0, 40, 0, 0, 1, 41
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\avisynth-c-interface-exception.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\avisynth-linking-exception.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bacula-exception.yml", "YAML", 0, 0, 0, 15, 0, 0, 2, 17
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\baekmuk-fonts.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bahyph.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bakoma-fonts-1995.yml", "YAML", 0, 0, 0, 19, 0, 0, 1, 20
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bapl-1.0.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\barr-tex.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bash-exception-gpl.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\bea-2.1.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\beal-screamer.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
